DATE,IPG2211A2N
01-01-1939,3.3336
01-02-1939,3.3591
01-03-1939,3.4354
01-04-1939,3.4608
01-05-1939,3.4608
01-06-1939,3.5117
01-07-1939,3.5117
01-08-1939,3.5626
01-09-1939,3.6644
01-10-1939,3.6644
01-11-1939,3.6899
01-12-1939,3.6899
01-01-1940,3.7153
01-02-1940,3.7662
01-03-1940,3.7917
01-04-1940,3.7917
01-05-1940,3.8171
01-06-1940,3.868
01-07-1940,3.868
01-08-1940,3.9189
01-09-1940,3.9698
01-10-1940,3.9952
01-11-1940,4.097
01-12-1940,4.097
01-01-1941,4.1225
01-02-1941,4.1734
01-03-1941,4.2243
01-04-1941,4.2752
01-05-1941,4.3006
01-06-1941,4.377
01-07-1941,4.4278
01-08-1941,4.4787
01-09-1941,4.5042
01-10-1941,4.5296
01-11-1941,4.5805
01-12-1941,4.6823
01-01-1942,4.7332
01-02-1942,4.7841
01-03-1942,4.8096
01-04-1942,4.8096
01-05-1942,4.8096
01-06-1942,4.835
01-07-1942,4.9877
01-08-1942,5.0131
01-09-1942,5.0386
01-10-1942,5.0386
01-11-1942,5.1149
01-12-1942,5.1913
01-01-1943,5.1404
01-02-1943,5.2167
01-03-1943,5.2422
01-04-1943,5.3185
01-05-1943,5.344
01-06-1943,5.4457
01-07-1943,5.4966
01-08-1943,5.5221
01-09-1943,5.6239
01-10-1943,5.6239
01-11-1943,5.7002
01-12-1943,5.7002
01-01-1944,5.6493
01-02-1944,5.7257
01-03-1944,5.8275
01-04-1944,5.8529
01-05-1944,5.8529
01-06-1944,5.8529
01-07-1944,5.802
01-08-1944,5.8275
01-09-1944,5.802
01-10-1944,5.7511
01-11-1944,5.802
01-12-1944,5.8275
01-01-1945,5.9292
01-02-1945,5.9292
01-03-1945,5.9038
01-04-1945,5.9038
01-05-1945,5.9547
01-06-1945,6.031
01-07-1945,6.0056
01-08-1945,5.9038
01-09-1945,5.802
01-10-1945,5.7511
01-11-1945,5.802
01-12-1945,5.8529
01-01-1946,5.8529
01-02-1946,5.8529
01-03-1946,5.8529
01-04-1946,5.9547
01-05-1946,6.0056
01-06-1946,6.031
01-07-1946,6.1583
01-08-1946,6.2601
01-09-1946,6.3364
01-10-1946,6.4127
01-11-1946,6.4382
01-12-1946,6.4636
01-01-1947,6.6418
01-02-1947,6.5145
01-03-1947,6.4636
01-04-1947,6.4636
01-05-1947,6.4382
01-06-1947,6.4382
01-07-1947,6.4382
01-08-1947,6.6163
01-09-1947,6.7436
01-10-1947,6.769
01-11-1947,6.8454
01-12-1947,7.1762
01-01-1948,7.5324
01-02-1948,7.3543
01-03-1948,7.3797
01-04-1948,7.2271
01-05-1948,7.0744
01-06-1948,7.1253
01-07-1948,7.1762
01-08-1948,7.3543
01-09-1948,7.4815
01-10-1948,7.5579
01-11-1948,7.6597
01-12-1948,7.965
01-01-1949,8.1432
01-02-1949,7.965
01-03-1949,7.8632
01-04-1949,7.6851
01-05-1949,7.5324
01-06-1949,7.5833
01-07-1949,7.6851
01-08-1949,7.8632
01-09-1949,7.9396
01-10-1949,7.8887
01-11-1949,8.0923
01-12-1949,8.5503
01-01-1950,8.9575
01-02-1950,8.7539
01-03-1950,8.8048
01-04-1950,8.703
01-05-1950,8.6776
01-06-1950,8.7539
01-07-1950,8.7794
01-08-1950,8.9829
01-09-1950,9.1102
01-10-1950,9.2629
01-11-1950,9.3901
01-12-1950,9.7209
01-01-1951,10.2807
01-02-1951,10.1281
01-03-1951,10.1281
01-04-1951,10.1026
01-05-1951,9.899
01-06-1951,10.0263
01-07-1951,10.0772
01-08-1951,10.3062
01-09-1951,10.408
01-10-1951,10.3316
01-11-1951,10.5352
01-12-1951,10.8406
01-01-1952,11.375
01-02-1952,11.1205
01-03-1952,11.0442
01-04-1952,10.7643
01-05-1952,10.5607
01-06-1952,10.637
01-07-1952,10.8152
01-08-1952,11.1714
01-09-1952,11.375
01-10-1952,11.3495
01-11-1952,11.4513
01-12-1952,11.8585
01-01-1953,12.2656
01-02-1953,11.8839
01-03-1953,11.9603
01-04-1953,11.8839
01-05-1953,11.7313
01-06-1953,11.8839
01-07-1953,12.0621
01-08-1953,12.2402
01-09-1953,12.2402
01-10-1953,12.1384
01-11-1953,12.0621
01-12-1953,12.4692
01-01-1954,13.1563
01-02-1954,12.8
01-03-1954,12.7492
01-04-1954,12.5965
01-05-1954,12.342
01-06-1954,12.5456
01-07-1954,12.8764
01-08-1954,13.2072
01-09-1954,13.2581
01-10-1954,13.1563
01-11-1954,13.2072
01-12-1954,13.8688
01-01-1955,14.276
01-02-1955,14.2251
01-03-1955,14.2251
01-04-1955,14.0724
01-05-1955,13.7925
01-06-1955,13.9197
01-07-1955,14.276
01-08-1955,14.9885
01-09-1955,15.0903
01-10-1955,14.8104
01-11-1955,14.8867
01-12-1955,15.6501
01-01-1956,16.21
01-02-1956,16.0064
01-03-1956,15.8537
01-04-1956,15.6501
01-05-1956,15.4975
01-06-1956,15.5993
01-07-1956,15.8283
01-08-1956,16.21
01-09-1956,16.1082
01-10-1956,15.8283
01-11-1956,15.8283
01-12-1956,16.5408
01-01-1957,17.2788
01-02-1957,17.0498
01-03-1957,16.8207
01-04-1957,16.5408
01-05-1957,16.2609
01-06-1957,16.4645
01-07-1957,17.1261
01-08-1957,17.6605
01-09-1957,17.406
01-10-1957,16.9225
01-11-1957,16.9734
01-12-1957,17.6096
01-01-1958,18.2203
01-02-1958,17.915
01-03-1958,17.686
01-04-1958,17.0752
01-05-1958,16.7444
01-06-1958,17.177
01-07-1958,17.6605
01-08-1958,18.373
01-09-1958,18.4239
01-10-1958,17.8641
01-11-1958,17.7877
01-12-1958,18.7293
01-01-1959,19.7217
01-02-1959,19.3909
01-03-1959,19.2891
01-04-1959,18.8311
01-05-1959,18.7038
01-06-1959,19.2891
01-07-1959,19.7981
01-08-1959,20.2052
01-09-1959,20.4088
01-10-1959,19.4927
01-11-1959,19.4418
01-12-1959,20.5615
01-01-1960,21.4267
01-02-1960,21.1213
01-03-1960,21.2231
01-04-1960,20.5106
01-05-1960,19.8999
01-06-1960,20.4088
01-07-1960,20.9178
01-08-1960,21.7321
01-09-1960,21.7575
01-10-1960,20.7396
01-11-1960,20.5106
01-12-1960,21.274
01-01-1961,22.2919
01-02-1961,21.8339
01-03-1961,21.5285
01-04-1961,21.1722
01-05-1961,21.1722
01-06-1961,21.6303
01-07-1961,22.1392
01-08-1961,23.1826
01-09-1961,23.3098
01-10-1961,22.3937
01-11-1961,22.0629
01-12-1961,22.979
01-01-1962,24.3532
01-02-1962,23.717
01-03-1962,23.5643
01-04-1962,22.6991
01-05-1962,22.5973
01-06-1962,23.3607
01-07-1962,24.0733
01-08-1962,24.7349
01-09-1962,24.7349
01-10-1962,23.717
01-11-1962,23.5643
01-12-1962,24.455
